year,class,rider_id,rider_name,nationality,maker,status
1949,125cc,,ネロ・パガーニ,イタリア,モンディアル,記憶
1961,125cc,,トム・フィリス,豪州,ホンダ,記憶
1962,125cc,,ルイジ・タベリ,スイス,ホンダ,記憶
1963,125cc,,ヒュー・アンダーソン,NZ,スズキ,記憶
1964,125cc,,ルイジ・タベリ,スイス,ホンダ,記憶
1965,125cc,,ヒュー・アンダーソン,NZ,スズキ,記憶
1966,125cc,,ルイジ・タベリ,スイス,ホンダ,記憶
1967,125cc,,ビル・アイビー,英国,ヤマハ,記憶
1968,125cc,,フィル・リード,英国,ヤマハ,記憶
1971,125cc,,アンヘル・ニエト,スペイン,デルビ,記憶
1972,125cc,,アンヘル・ニエト,スペイン,デルビ,記憶
1982,125cc,,アンヘル・ニエト,スペイン,ガレリ,記憶
1983,125cc,,アンヘル・ニエト,スペイン,ガレリ,記憶
1984,125cc,,アンヘル・ニエト,スペイン,ガレリ,記憶
1985,125cc,,ファウスト・グレシーニ,イタリア,ガレリ,記憶
1986,125cc,,ルカ・カダローラ,イタリア,ガレリ,記憶
1987,125cc,,ファウスト・グレシーニ,イタリア,ガレリ,記憶
1988,125cc,,ホルヘ・マルティネス,スペイン,デルビ,記憶
1989,125cc,,アレックス・クリビーレ,スペイン,JJコバス,記憶
1990,125cc,,ロリス・カピロッシ,イタリア,ホンダ,記憶
1991,125cc,,ロリス・カピロッシ,イタリア,ホンダ,記憶
1992,125cc,,アレッサンドロ・グラミーニ,イタリア,アプリリア,記憶
1993,125cc,,ディルク・ラウディス,ドイツ,ホンダ,記憶
1994,125cc,,坂田和人,日本,アプリリア,記憶
1995,125cc,,青木治親,日本,ホンダ,記憶
1996,125cc,,青木治親,日本,ホンダ,記憶
1997,125cc,valentino-rossi,バレンティーノ・ロッシ,イタリア,アプリリア,記憶
1998,125cc,,坂田和人,日本,アプリリア,記憶
1999,125cc,,エミリオ・アルサモラ,スペイン,ホンダ,記憶
2000,125cc,,ロベルト・ロカテッリ,イタリア,アプリリア,記憶
2001,125cc,manuel-poggiali,マヌエル・ポジャーリ,サンマリノ,ジレラ,記憶
2002,125cc,arnaud-vincent,アルノー・ヴァンサン,フランス,アプリリア,記憶
2003,125cc,dani-pedrosa,ダニ・ペドロサ,スペイン,ホンダ,記憶
2004,125cc,andrea-dovizioso,アンドレア・ドヴィツィオーゾ,イタリア,ホンダ,記憶
