name,era,note
高橋国光,1960年代,1961年西ドイツGP 250ccで日本人初のGP優勝。後に4輪でも活躍
片山敬済,1970年代,1977年350ccで日本人初の世界王者（ヤマハ）
平忠彦,1980年代,"ヤマハの500ccライダーとして国内外で人気を集めた <span class=""chk"">要確認</span>"
原田哲也,1990年代,1993年250ccデビューイヤーに王座。緻密な走りで「クールデビル」の異名
岡田忠之,1990年代,"ホンダ開発の要。500ccで優勝経験 <span class=""chk"">要確認</span>"
阿部典史,1990年代,ワイルドカードからの鮮烈な走りでロッシも憧れた存在。1996年日本GPで最高峰優勝
坂田和人／青木治親,1990年代,125ccで坂田2回、青木2回の王座。日本人小排気量の黄金期
加藤大治郎,2000年代,2001年250ccで年間11勝の王座。2003年日本GPの事故で死去
宇川徹／玉田誠,2000年代,MotoGP初期の優勝者。宇川は2002年南アフリカ、玉田は2004年ブラジル・日本
中野真矢,2000年代,250ccで活躍後、MotoGPでも表彰台を獲得
青山博一,2009,250ccクラス最後の王者
中上貴晶,2010–20年代,LCRホンダでMotoGPに長く参戦した日本人ライダー
小椋藍,2020年代,2024年Moto2王者。2025年からMotoGP（トラックハウス・アプリリア）
