name,era,titles,note
ジェフ・デューク,英国｜1950年代,最高峰4回・350cc 2回,革製ワンピースのレーシングスーツを広めた先駆者。ノートンとジレラで王座
ジョン・サーティース,英国｜1956–60,最高峰4回・350cc 3回,2輪と4輪（F1 1964年）両方の世界王者という唯一の記録
マイク・ヘイルウッド,英国｜1960年代,全クラス9回,「マイク・ザ・バイク」。MVとホンダで複数クラスを制覇
ジャコモ・アゴスチーニ,イタリア｜1960–70年代,全クラス15回・122勝,史上最多タイトル・最多勝。4ストMVと2ストヤマハの両方で王座
アンヘル・ニエト,スペイン｜1969–84,50cc 6回・125cc 7回,小排気量の絶対王者。スペインのGP人気の礎
ケニー・ロバーツ,米国｜1978–80,最高峰3回,ダートトラック流の走法で最高峰を変革。ライダーの待遇改善にも尽力
フレディ・スペンサー,米国｜1980年代,最高峰2回・250cc 1回,1983年に当時最年少の最高峰王者。1985年250/500ダブルタイトル
ウェイン・レイニー／ケビン・シュワンツ,米国｜1988–93,レイニー3回・シュワンツ1回,ヤマハ対スズキの宿命のライバル。1993年レイニーの事故で決着
ミック・ドゥーハン,豪州｜1994–98,最高峰5連覇,1992年の大怪我から復活し、NSR500で500cc最後の絶対王者に
バレンティーノ・ロッシ,イタリア｜1996–2021,全クラス9回・115勝,125/250/500/MotoGPの4クラス制覇。ヤマハ移籍後の勝利でマシンよりライダーの力を示した
ケーシー・ストーナー,豪州｜2007–12,最高峰2回,ドゥカティとホンダで王座。難しいドゥカティを唯一乗りこなした天才
ホルヘ・ロレンソ,スペイン｜2008–19,最高峰3回・250cc 2回,精密なライン取りでヤマハの王座を3度獲得
マルク・マルケス,スペイン｜2013–,全クラス9回,ルーキーで最高峰王座。大怪我から復活し2025年にドゥカティで7度目の最高峰王座
フランチェスコ・バニャイア,イタリア｜2022–,最高峰2回・Moto2 1回,ドゥカティに2007年以来の最高峰王座をもたらす
