year,class,round,session,gp_code,gp_name_ja,circuit,date,winner_id,status,note,source
1949,500cc,1,RAC,TT,マン島TT,Isle of Man,1949-06-17,harold-daniell,確認済,,
1949,500cc,2,RAC,SWI,Switzerland Grand Prix,Berne,1949-07-03,leslie-graham,確認済,,
1949,500cc,3,RAC,NED,オランダTT,TT Circuit Assen,1949-07-09,nello-pagani,確認済,,
1949,500cc,4,RAC,BEL,ベルギーGP,Spa-Francorchamps,1949-07-17,bill-doran,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1949,500cc,5,RAC,ULST,アルスターGP,Belfast,1949-08-20,leslie-graham,確認済,,
1949,500cc,6,RAC,NAT,ネイションズGP,Monza,1949-09-04,nello-pagani,確認済,,
1949,250cc,1,RAC,TT,マン島TT,Isle of Man,1949-06-17,manliefe-barrington,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1949,250cc,2,RAC,SWI,Switzerland Grand Prix,Berne,1949-07-03,bruno-ruffo,確認済,,
1949,250cc,3,RAC,ULST,アルスターGP,Belfast,1949-08-20,maurice-cann,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1949,250cc,4,RAC,NAT,ネイションズGP,Monza,1949-09-04,dario-ambrosini,確認済,,
1949,350cc,1,RAC,TT,マン島TT,Isle of Man,1949-06-17,freddie-frith,確認済,,
1949,350cc,2,RAC,SWI,Switzerland Grand Prix,Berne,1949-07-03,freddie-frith,確認済,,
1949,350cc,3,RAC,NED,オランダTT,TT Circuit Assen,1949-07-09,freddie-frith,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1949,350cc,4,RAC,BEL,ベルギーGP,Spa-Francorchamps,1949-07-17,freddie-frith,確認済,,
1949,350cc,5,RAC,ULST,アルスターGP,Belfast,1949-08-20,freddie-frith,確認済,,
1949,125cc,1,RAC,SWI,Switzerland Grand Prix,Berne,1949-07-03,nello-pagani,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1949,125cc,2,RAC,NED,オランダTT,TT Circuit Assen,1949-07-09,nello-pagani,確認済,,
1949,125cc,3,RAC,NAT,ネイションズGP,Monza,1949-09-04,gianni-leoni,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1950,500cc,1,RAC,TT,マン島TT,Isle of Man,1950-06-09,geoff-duke,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1950,500cc,2,RAC,BEL,ベルギーGP,Spa-Francorchamps,1950-07-02,umberto-masetti,確認済,,
1950,500cc,3,RAC,NED,オランダTT,TT Circuit Assen,1950-07-08,umberto-masetti,確認済,,
1950,500cc,4,RAC,SWI,Switzerland Grand Prix,Berne,1950-07-23,leslie-graham,確認済,,
1950,500cc,5,RAC,ULST,アルスターGP,Belfast,1950-08-18,geoff-duke,確認済,,
1950,500cc,6,RAC,NAT,ネイションズGP,Monza,1950-09-10,geoff-duke,確認済,,
1950,250cc,1,RAC,TT,マン島TT,Isle of Man,1950-06-09,dario-ambrosini,確認済,,
1950,250cc,2,RAC,SWI,Switzerland Grand Prix,Berne,1950-07-23,dario-ambrosini,確認済,,
1950,250cc,3,RAC,ULST,アルスターGP,Belfast,1950-08-18,maurice-cann,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1950,250cc,4,RAC,NAT,ネイションズGP,Monza,1950-09-10,dario-ambrosini,確認済,,
1950,350cc,1,RAC,TT,マン島TT,Isle of Man,1950-06-09,artie-bell,確認済,,
1950,350cc,2,RAC,BEL,ベルギーGP,Spa-Francorchamps,1950-07-02,bob-foster,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1950,350cc,3,RAC,NED,オランダTT,TT Circuit Assen,1950-07-08,bob-foster,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1950,350cc,4,RAC,SWI,Switzerland Grand Prix,Berne,1950-07-23,leslie-graham,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1950,350cc,5,RAC,ULST,アルスターGP,Belfast,1950-08-18,bob-foster,確認済,,
1950,350cc,6,RAC,NAT,ネイションズGP,Monza,1950-09-10,geoff-duke,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1950,125cc,1,RAC,NED,オランダTT,TT Circuit Assen,1950-07-08,bruno-ruffo,確認済,,
1950,125cc,2,RAC,ULST,アルスターGP,Belfast,1950-08-18,carlo-ubbiali,確認済,,
1950,125cc,3,RAC,NAT,ネイションズGP,Monza,1950-09-10,gianni-leoni,確認済,,
1951,500cc,1,RAC,SPA,スペインGP,Montjuïc,1951-04-08,umberto-masetti,確認済,,
1951,500cc,2,RAC,SWI,Switzerland Grand Prix,Berne,1951-05-27,fergus-anderson,確認済,,
1951,500cc,3,RAC,TT,マン島TT,Isle of Man,1951-06-08,geoff-duke,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1951,500cc,4,RAC,BEL,ベルギーGP,Spa-Francorchamps,1951-07-01,geoff-duke,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1951,500cc,5,RAC,NED,オランダTT,TT Circuit Assen,1951-07-07,geoff-duke,確認済,,
1951,500cc,6,RAC,FRA,フランスGP,Albi,1951-07-14,alfredo-milani,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1951,500cc,7,RAC,ULST,アルスターGP,Belfast,1951-08-18,geoff-duke,確認済,,
1951,500cc,8,RAC,NAT,ネイションズGP,Monza,1951-09-09,alfredo-milani,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1951,250cc,1,RAC,SWI,Switzerland Grand Prix,Berne,1951-05-27,dario-ambrosini,確認済,,
1951,250cc,2,RAC,TT,マン島TT,Isle of Man,1951-06-08,tommy-wood,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1951,250cc,3,RAC,FRA,フランスGP,Albi,1951-07-14,bruno-ruffo,確認済,,
1951,250cc,4,RAC,ULST,アルスターGP,Belfast,1951-08-18,bruno-ruffo,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1951,250cc,5,RAC,NAT,ネイションズGP,Monza,1951-09-09,enrico-lorenzetti,確認済,,
1951,350cc,1,RAC,SPA,スペインGP,Montjuïc,1951-04-08,tommy-wood,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1951,350cc,2,RAC,SWI,Switzerland Grand Prix,Berne,1951-05-27,leslie-graham,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1951,350cc,3,RAC,TT,マン島TT,Isle of Man,1951-06-08,geoff-duke,確認済,,
1951,350cc,4,RAC,BEL,ベルギーGP,Spa-Francorchamps,1951-07-01,geoff-duke,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1951,350cc,5,RAC,NED,オランダTT,TT Circuit Assen,1951-07-07,bill-doran,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1951,350cc,6,RAC,FRA,フランスGP,Albi,1951-07-14,geoff-duke,確認済,,
1951,350cc,7,RAC,ULST,アルスターGP,Belfast,1951-08-18,geoff-duke,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1951,350cc,8,RAC,NAT,ネイションズGP,Monza,1951-09-09,geoff-duke,確認済,,
1951,125cc,1,RAC,SPA,スペインGP,Montjuïc,1951-04-08,guido-leoni,確認済,,
1951,125cc,2,RAC,TT,マン島TT,Isle of Man,1951-06-08,cromie-mccandless,確認済,,
1951,125cc,3,RAC,NED,オランダTT,TT Circuit Assen,1951-07-07,gianni-leoni,確認済,,
1951,125cc,4,RAC,ULST,アルスターGP,Belfast,1951-08-18,cromie-mccandless,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1951,125cc,5,RAC,NAT,ネイションズGP,Monza,1951-09-09,carlo-ubbiali,確認済,,
1952,500cc,1,RAC,SWI,Switzerland Grand Prix,Berne,1952-05-18,jack-brett,確認済,,
1952,500cc,2,RAC,TT,マン島TT,Isle of Man,1952-06-13,reg-armstrong,確認済,,
1952,500cc,3,RAC,NED,オランダTT,TT Circuit Assen,1952-06-28,umberto-masetti,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1952,500cc,4,RAC,BEL,ベルギーGP,Spa-Francorchamps,1952-07-06,umberto-masetti,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1952,500cc,5,RAC,WGER,西ドイツGP,Solitude,1952-07-20,reg-armstrong,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1952,500cc,6,RAC,ULST,アルスターGP,Belfast,1952-08-16,cromie-mccandless,確認済,,
1952,500cc,7,RAC,NAT,ネイションズGP,Monza,1952-09-14,leslie-graham,確認済,,
1952,500cc,8,RAC,SPA,スペインGP,Montjuïc,1952-10-05,leslie-graham,確認済,,
1952,250cc,1,RAC,SWI,Switzerland Grand Prix,Berne,1952-05-18,fergus-anderson,確認済,,
1952,250cc,2,RAC,TT,マン島TT,Isle of Man,1952-06-13,fergus-anderson,確認済,,
1952,250cc,3,RAC,NED,オランダTT,TT Circuit Assen,1952-06-28,enrico-lorenzetti,確認済,,
1952,250cc,4,RAC,WGER,西ドイツGP,Solitude,1952-07-20,roland-felgenheier,確認済,,
1952,250cc,5,RAC,ULST,アルスターGP,Belfast,1952-08-16,maurice-cann,確認済,,
1952,250cc,6,RAC,NAT,ネイションズGP,Monza,1952-09-14,enrico-lorenzetti,確認済,,
1952,350cc,1,RAC,SWI,Switzerland Grand Prix,Berne,1952-05-18,geoff-duke,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1952,350cc,2,RAC,TT,マン島TT,Isle of Man,1952-06-13,geoff-duke,確認済,,
1952,350cc,3,RAC,NED,オランダTT,TT Circuit Assen,1952-06-28,geoff-duke,確認済,,
1952,350cc,4,RAC,BEL,ベルギーGP,Spa-Francorchamps,1952-07-06,geoff-duke,確認済,,
1952,350cc,5,RAC,WGER,西ドイツGP,Solitude,1952-07-20,reg-armstrong,確認済,,
1952,350cc,6,RAC,ULST,アルスターGP,Belfast,1952-08-16,ken-kavanagh,確認済,,
1952,350cc,7,RAC,NAT,ネイションズGP,Monza,1952-09-14,ray-amm,確認済,,
1952,125cc,1,RAC,TT,マン島TT,Isle of Man,1952-06-13,cecil-sandford,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1952,125cc,2,RAC,NED,オランダTT,TT Circuit Assen,1952-06-28,cecil-sandford,確認済,,
1952,125cc,3,RAC,WGER,西ドイツGP,Solitude,1952-07-20,werner-haas,確認済,,
1952,125cc,4,RAC,ULST,アルスターGP,Belfast,1952-08-16,cecil-sandford,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1952,125cc,5,RAC,NAT,ネイションズGP,Monza,1952-09-14,emilio-mendogni,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1952,125cc,6,RAC,SPA,スペインGP,Montjuïc,1952-10-05,emilio-mendogni,確認済,公式リザルトに結果データがないため、上位3名のみ掲載（出典：英語版Wikipedia 各GP記事）,
1953,500cc,1,RAC,TT,マン島TT,Isle of Man,1953-06-12,ray-amm,確認済,,
1953,500cc,2,RAC,NED,オランダTT,TT Circuit Assen,1953-06-27,geoff-duke,確認済,,
1953,500cc,3,RAC,BEL,ベルギーGP,Spa-Francorchamps,1953-07-05,alfredo-milani,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1953,500cc,4,RAC,WGER,西ドイツGP,Schotten,1953-07-19,walter-zeller,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1953,500cc,5,RAC,FRA,フランスGP,Rouen,1953-08-02,geoff-duke,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1953,500cc,6,RAC,ULST,アルスターGP,Belfast,1953-08-15,ken-kavanagh,確認済,,
1953,500cc,7,RAC,SWI,Switzerland Grand Prix,Berne,1953-08-23,geoff-duke,確認済,,
1953,500cc,8,RAC,NAT,ネイションズGP,Monza,1953-09-06,geoff-duke,確認済,,
1953,500cc,9,RAC,SPA,スペインGP,Montjuïc,1953-10-04,fergus-anderson,確認済,,
1953,250cc,1,RAC,TT,マン島TT,Isle of Man,1953-06-12,fergus-anderson,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1953,250cc,2,RAC,NED,オランダTT,TT Circuit Assen,1953-06-27,werner-haas,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1953,250cc,3,RAC,WGER,西ドイツGP,Schotten,1953-07-19,werner-haas,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1953,250cc,4,RAC,ULST,アルスターGP,Belfast,1953-08-15,reg-armstrong,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1953,250cc,5,RAC,SWI,Switzerland Grand Prix,Berne,1953-08-23,reg-armstrong,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1953,250cc,6,RAC,NAT,ネイションズGP,Monza,1953-09-06,enrico-lorenzetti,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1953,250cc,7,RAC,SPA,スペインGP,Montjuïc,1953-10-04,enrico-lorenzetti,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1953,350cc,1,RAC,TT,マン島TT,Isle of Man,1953-06-12,ray-amm,確認済,,
1953,350cc,2,RAC,NED,オランダTT,TT Circuit Assen,1953-06-27,enrico-lorenzetti,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1953,350cc,3,RAC,BEL,ベルギーGP,Spa-Francorchamps,1953-07-05,fergus-anderson,確認済,,
1953,350cc,4,RAC,WGER,西ドイツGP,Schotten,1953-07-19,carlo-bandirola,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1953,350cc,5,RAC,FRA,フランスGP,Rouen,1953-08-02,fergus-anderson,確認済,,
1953,350cc,6,RAC,ULST,アルスターGP,Belfast,1953-08-15,ken-mudford,確認済,,
1953,350cc,7,RAC,SWI,Switzerland Grand Prix,Berne,1953-08-23,fergus-anderson,確認済,,
1953,350cc,8,RAC,NAT,ネイションズGP,Monza,1953-09-06,enrico-lorenzetti,確認済,,
1953,125cc,1,RAC,TT,マン島TT,Isle of Man,1953-06-12,leslie-graham,確認済,,
1953,125cc,2,RAC,NED,オランダTT,TT Circuit Assen,1953-06-27,werner-haas,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1953,125cc,3,RAC,WGER,西ドイツGP,Schotten,1953-07-19,carlo-ubbiali,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1953,125cc,4,RAC,ULST,アルスターGP,Belfast,1953-08-15,werner-haas,確認済,,
1953,125cc,5,RAC,NAT,ネイションズGP,Monza,1953-09-06,werner-haas,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1953,125cc,6,RAC,SPA,スペインGP,Montjuïc,1953-10-04,angelo-copeta,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1954,500cc,1,RAC,FRA,フランスGP,Rouen,1954-05-30,pierre-monneret,確認済,,
1954,500cc,2,RAC,TT,マン島TT,Isle of Man,1954-06-18,ray-amm,確認済,,
1954,500cc,3,RAC,ULST,アルスターGP,Belfast,1954-06-24,ray-amm,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
1954,500cc,4,RAC,BEL,ベルギーGP,Spa-Francorchamps,1954-07-04,geoff-duke,確認済,,
1954,500cc,5,RAC,NED,オランダTT,TT Circuit Assen,1954-07-10,geoff-duke,確認済,,
1954,500cc,6,RAC,WGER,西ドイツGP,Solitude,1954-07-25,geoff-duke,確認済,公式リザルトに結果データがないため、優勝者のみ掲載（出典：英語版Wikipedia シーズン記事の日程表）,
