year,class,round,session,pos,rider_id,number,team,maker,points,result
2010,MotoGP,1,RAC,1,valentino-rossi,46,Fiat Yamaha Team,ヤマハ,25,FIN
2010,MotoGP,1,RAC,2,jorge-lorenzo,99,Fiat Yamaha Team,ヤマハ,20,FIN
2010,MotoGP,1,RAC,3,andrea-dovizioso,4,Repsol Honda Team,ホンダ,16,FIN
2010,MotoGP,1,RAC,4,nicky-hayden,69,Ducati Marlboro Team,ドゥカティ,13,FIN
2010,MotoGP,1,RAC,5,ben-spies,11,Monster Yamaha Tech 3,ヤマハ,11,FIN
2010,MotoGP,1,RAC,6,randy-de-puniet,14,LCR Honda MotoGP,ホンダ,10,FIN
2010,MotoGP,1,RAC,7,dani-pedrosa,26,Repsol Honda Team,ホンダ,9,FIN
2010,MotoGP,1,RAC,8,colin-edwards,5,Monster Yamaha Tech 3,ヤマハ,8,FIN
2010,MotoGP,1,RAC,9,loris-capirossi,65,Rizla Suzuki MotoGP,スズキ,7,FIN
2010,MotoGP,1,RAC,10,hiroshi-aoyama,7,Interwetten Honda MotoGP,ホンダ,6,FIN
2010,MotoGP,1,RAC,11,marco-simoncelli,58,San Carlo Honda Gresini,ホンダ,5,FIN
2010,MotoGP,1,RAC,12,hector-barbera,40,Paginas Amarillas Aspar,ドゥカティ,4,FIN
2010,MotoGP,1,RAC,13,marco-melandri,33,San Carlo Honda Gresini,ホンダ,3,FIN
2010,MotoGP,1,RAC,,alvaro-bautista,19,Rizla Suzuki MotoGP,スズキ,,DNF
2010,MotoGP,1,RAC,,aleix-espargaro,41,Pramac Racing Team,ドゥカティ,,DNF
2010,MotoGP,1,RAC,,casey-stoner,27,Ducati Marlboro Team,ドゥカティ,,DNF
2010,MotoGP,1,RAC,,mika-kallio,36,Pramac Racing Team,ドゥカティ,,DNF
2010,MotoGP,2,RAC,1,jorge-lorenzo,99,Fiat Yamaha Team,ヤマハ,25,FIN
2010,MotoGP,2,RAC,2,dani-pedrosa,26,Repsol Honda Team,ホンダ,20,FIN
2010,MotoGP,2,RAC,3,valentino-rossi,46,Fiat Yamaha Team,ヤマハ,16,FIN
2010,MotoGP,2,RAC,4,nicky-hayden,69,Ducati Marlboro Team,ドゥカティ,13,FIN
2010,MotoGP,2,RAC,5,casey-stoner,27,Ducati Marlboro Team,ドゥカティ,11,FIN
2010,MotoGP,2,RAC,6,andrea-dovizioso,4,Repsol Honda Team,ホンダ,10,FIN
2010,MotoGP,2,RAC,7,mika-kallio,36,Pramac Racing Team,ドゥカティ,9,FIN
2010,MotoGP,2,RAC,8,marco-melandri,33,San Carlo Honda Gresini,ホンダ,8,FIN
2010,MotoGP,2,RAC,9,randy-de-puniet,14,LCR Honda MotoGP,ホンダ,7,FIN
2010,MotoGP,2,RAC,10,alvaro-bautista,19,Rizla Suzuki MotoGP,スズキ,6,FIN
2010,MotoGP,2,RAC,11,marco-simoncelli,58,San Carlo Honda Gresini,ホンダ,5,FIN
2010,MotoGP,2,RAC,12,colin-edwards,5,Monster Yamaha Tech 3,ヤマハ,4,FIN
2010,MotoGP,2,RAC,13,hector-barbera,40,Paginas Amarillas Aspar,ドゥカティ,3,FIN
2010,MotoGP,2,RAC,14,hiroshi-aoyama,7,Interwetten Honda MotoGP,ホンダ,2,FIN
2010,MotoGP,2,RAC,15,aleix-espargaro,41,Pramac Racing Team,ドゥカティ,1,FIN
2010,MotoGP,2,RAC,,ben-spies,11,Monster Yamaha Tech 3,ヤマハ,,DNF
2010,MotoGP,2,RAC,,loris-capirossi,65,Rizla Suzuki MotoGP,スズキ,,DNF
