id,name_ja,name_en,nationality,birth_year,birth_date,birthplace,profile,status,api_id
valentino-rossi,バレンティーノ・ロッシ,Valentino Rossi,イタリア,1979,1979-02-16,Urbino,125cc・250cc・500cc・MotoGPの4クラスで王座を獲得。最高峰7度の王者で、2004年のヤマハ移籍後も王座を重ねた。2021年限りで引退,記憶,d6f009a8-5a57-49b1-8c68-a9c78349d500
max-biaggi,マックス・ビアッジ,Max Biaggi,イタリア,1971,1971-06-26,Roma,250ccで4連覇。MotoGP初年度2002年にランキング2位。のちにスーパーバイク世界選手権でも王座,記憶,b8a2f851-270e-4e62-aae0-35b99146a859
sete-gibernau,セテ・ジベルナウ,Sete Gibernau,スペイン,1972,1972-12-15,Barcelona,2003・2004年にロッシと王座を争い、2年連続ランキング2位,記憶,a5355233-6238-455c-93c5-9e3d02a4bb90
marco-melandri,マルコ・メランドリ,Marco Melandri,イタリア,1982,1982-08-07,Ravenna,2002年250cc王者。2005年にMotoGPランキング2位,記憶,79bf3584-ec20-4ef4-96b5-866bda4d9148
nicky-hayden,ニッキー・ヘイデン,Nicky Hayden,米国,1981,1981-07-30,Owensboro,2006年、最終戦で逆転しMotoGP王座。のちにドゥカティでも走った。2017年に交通事故で死去,記憶,e6bee675-310c-4083-9183-1e2ee7b297aa
casey-stoner,ケーシー・ストーナー,Casey Stoner,豪州,1985,1985-10-16,Southport,2007年にドゥカティ、2011年にホンダで王座。2012年、27歳で現役を退いた,記憶,9d0d31fb-c7de-4f56-b2ef-ab1829c96e43
dani-pedrosa,ダニ・ペドロサ,Dani Pedrosa,スペイン,1985,1985-09-29,Sabadell,125cc・250cc王者。最高峰では長くホンダのエースとして活躍し、ランキング2位3回。引退後はKTMの開発ライダー,記憶,a8071fde-27fa-49f0-96c8-a53030fcd0dc
jorge-lorenzo,ホルヘ・ロレンソ,Jorge Lorenzo,スペイン,1987,1987-05-04,Palma de Mallorca,250cc王者2回、MotoGP王者3回（2010・2012・2015年、いずれもヤマハ）。正確なライン取りが持ち味。2019年限りで引退,記憶,d4eaf846-05bc-4a2a-86e4-0f93c27d3234
marc-marquez,マルク・マルケス,Marc Márquez,スペイン,1993,1993-02-17,Cervera,125cc・Moto2王者を経て、2013年にルーキーイヤーで最高峰王座。2020年の大怪我から復帰し、2025年にドゥカティで7度目の最高峰王座,記憶,23e50438-a657-4fb0-a190-3262b5472f29
andrea-dovizioso,アンドレア・ドヴィツィオーゾ,Andrea Dovizioso,イタリア,1986,1986-03-23,Forlimpopoli,2004年125cc王者。ドゥカティで2017〜2019年に3年連続ランキング2位,記憶,fe9fa956-0cd0-4009-9484-25e7cb5bdf88
