year,class,rounds,runner_up_id,constructor_champion,summary,rule_changes,status
1949,500cc,6,nello-pagani,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1949,250cc,4,dario-ambrosini,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1949,350cc,5,reg-armstrong,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1949,125cc,3,renato-magi,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1950,500cc,6,geoff-duke,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1950,250cc,4,maurice-cann,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1950,350cc,6,geoff-duke,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1950,125cc,3,gianni-leoni,,,,確認済
1951,500cc,8,alfredo-milani,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1951,250cc,5,tommy-wood,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1951,350cc,8,william-doran,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1951,125cc,5,gianni-leoni,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1952,500cc,8,leslie-graham,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1952,250cc,6,bob-anderson,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1952,350cc,7,reg-armstrong,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1952,125cc,6,carlo-ubbiali,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1953,500cc,9,reg-armstrong,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1953,250cc,7,keith-armstrong,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1953,350cc,8,enrico-lorenzetti,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1953,125cc,6,,,公式の年間順位データがなく、レース結果も一部のみのため、年間順位は未掲載。,,確認済
1954,500cc,9,ray-amm,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1954,250cc,7,rupert-hollaus,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1954,350cc,9,ray-amm,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1954,125cc,6,carlo-ubbiali,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
1955,500cc,8,reg-armstrong,,年間順位・ポイントは公式発表の値（公式データがない年は英語版Wikipediaの年間順位表）。結果が部分的なレースがあるため、または後日の裁定などにより、一部選手は各レース結果のポイント合計と一致しない。,,確認済
