title,url,used_for
Honda Global：Origins of MotoGP and Overview of the RC211V Series,https://global.honda/en/tech/motorsports/MotoGP/RC211V_part01/,
Motor Sport Magazine：Twenty years of MotoGP tech rule changes,https://www.motorsportmagazine.com/articles/motorcycles/motogp/twenty-years-of-motogp-tech-rule-changes-where-has-it-got-us/,
Crash.net：MotoGP flashback: First season of 800cc,https://www.crash.net/motogp/news/176063/1/motogp-engine-change-what-happened-last-time,
"Asphalt & Rubber：MotoGP Drops \""CRT\"" Name for \""Open\"" Class",https://www.asphaltandrubber.com/motogp/crt-name-open-rules/,
Asphalt & Rubber：MotoGP's 2016 Unified Software,https://www.asphaltandrubber.com/motogp/wanted-motogps-2016-unified-softwareafraid/,
Motorsport.com：MotoGP bans front ride height devices from 2023,https://www.motorsport.com/motogp/news/front-ride-height-devices-banned-2023/9220121/,
Crash.net：Explained: New 2024 MotoGP concessions system,https://www.crash.net/motogp/feature/1042269/1/explained-new-2024-motogp-concessions-system,
The Race：MotoGP's 2027 rules unveiled,https://www.the-race.com/motogp/2027-motogp-rules-ride-height-device-ban-aero-reduced/,
MotoGP公式：Welcome to the future of MotoGP – new bikes in 2027,https://www.motogp.com/en/news/2024/05/06/welcome-to-the-future-of-motogp-new-bikes-in-2027/497238,
motogpnews.com：MotoGP's 2027 regulations explained,https://www.motogpnews.com/2026/02/17/motogps-2027-regulations-explained-from-850cc-engines-and-aerodynamic-changes-to-new-pirelli-tyres/,
MotoGP公式：Liberty Media Completes Acquisition of MotoGP,https://www.motogp.com/en/news/2025/07/03/liberty-media-corporation-completes-acquisition-of-motogp/753691,
Wikipedia：Moto2,https://en.wikipedia.org/wiki/Moto2,
Crash.net：Full Moto3 technical regulations announced,https://www.crash.net/moto3/news/173717/1/full-moto3-technical-regulations-announced,
GPOne：Moto3 and Moto2 age limits effective in 2024,https://www.gpone.com/en/2023/12/20/motogp/moto3-and-moto2-age-limits-effective-in-2024-for-many-but-not-all.html,
Asphalt & Rubber：The Quartararo Rule,https://www.asphaltandrubber.com/motogp/quartararo-rule-moto3/,
Bike EXIF：Suzuki RK67（14速の50ccレーサー）,https://www.bikeexif.com/suzuki-rk67,
F1-Gate：MotoGPが2023年からスプリントレースを導入,https://f1-gate.com/motogp/f1_70437.html,
Wikipedia：List of 500cc/MotoGP World Riders' Champions,https://en.wikipedia.org/wiki/List_of_500cc/MotoGP_World_Riders'_Champions,
Wikipedia：World Riders' Champions by year,https://en.wikipedia.org/wiki/List_of_Grand_Prix_motorcycle_racing_World_Riders'_Champions_by_year,
同フォルダ「MotoGP_2026_レギュレーション.md」（2026年シーズンの規則まとめ）,,
MotoGP公式：Moreira takes Moto2 crown to become Brazil's first World Champion,https://www.motogp.com/en/news/2025/11/16/moreira-takes-moto2-crown-to-become-brazils-first-world-champion/820980,王者（2025年Moto2）
The Race：MotoGP 2026 rider line-up in full,https://www.the-race.com/motogp/motogp-2026-rider-line-up-in-full/,参戦一覧（2026年）
Racetrack Masters：Final 2025 MotoGP Championship Standings,https://www.racetrackmasters.com/final-2025-motogp-championship-standings/,年間順位（2025年）
Motorsport Standings：MotoGP 2024,https://www.motorsportstandings.com/motorcycles/motogp/2024,年間順位（2024年）
Motorsport Standings：MotoGP 各年の最終ランキング（2002〜2023年）,https://www.motorsportstandings.com/motorcycles/motogp/2010,参戦一覧・年間順位・ポイント（2002〜2023年）。メーカー表記の誤りはClaudeが補正、不確かなものは要確認
Asphalt & Rubber：The ABC's of MotoGP's CRTs（2012年CRT各チームの車両）,https://www.asphaltandrubber.com/racing/2012-motogp-crt-riders-teams-bikes/,参戦一覧（2012年CRTのメーカー・車両）
Crash.net：2013 MotoGP entry list,https://www.crash.net/motogp/news/188001/1/updated-2013-motogp-entry-list,参戦一覧（2013年のメーカー・車両）
"Motorcycle.com：Attack Performance, GPTech to Race All Three US MotoGP Rounds in 2013",https://www.motorcycle.com/2012/12/14/manufacturers/kawasaki/attack-performance-gptech-to-race-all-three-us-motogp-rounds-in-2013/,参戦一覧（アタック、GPテックの車両）
Asphalt & Rubber：Blake Young Racing in the US MotoGP Rounds,https://www.asphaltandrubber.com/racing/blake-young-crt-motogp-attack-performance/,参戦一覧（2013年アタックの車両）
MotoGP公式：Martin Bauer prepared for history-making debut,https://www.motogp.com/en/news/2013/08/22/martin-bauer-prepared-for-history-making-debut/162118,参戦一覧（2013年レムスの車両）
Bike-urious：Avintia GP14 2014 Kawasaki MotoGP Bike,https://www.bike-urious.com/hector-barberas-ride-avintia-gp14-2014-kawasaki-motogp-bike/,参戦一覧（2014年アビンティアの車両）
Paddock GP：Kenny Roberts' Proton adventure,https://www.paddock-gp.com/en/oldies-motogp-kenny-roberts-proton-adventure/,参戦一覧（チームKRの車両 2002〜2007年）
Crash.net：Burns returns with WCM,https://www.crash.net/motogp/news/73931/1/burns-returns-with-wcm,参戦一覧（WCMの車両 2003〜2004年）
Motorsport Standings：Moto2・Moto3 各年の最終ランキング,https://www.motorsportstandings.com/,Moto2（2010〜2025年）・Moto3（2012〜2025年）の参戦一覧・年間順位・ポイント（各年上位20人）。メーカー（シャシー・車両）はClaudeの知識で補完、不確かなものは要確認
