year,category,text,major
1949,クラス,FIMロードレース世界選手権 開幕。500/350/250/125cc・サイドカーの5クラス。開幕戦はマン島TT,1
1958,規則・技術,全面カウル「ダストビン・フェアリング」禁止,
1959,運営・メーカー,ホンダがマン島TTに初参戦,
1961,運営・メーカー,ホンダが125/250ccで初タイトル。高橋国光が日本人初のGP優勝（西ドイツGP 250cc）,
1962,クラス,50ccクラス新設,
1963,運営・メーカー,鈴鹿サーキットで初の日本GP,
1967,運営・メーカー,ホンダがこの年限りで撤退。スズキ50cc 14速のRK67登場,
1969,規則・技術,FIMが1970年からの気筒数・変速段数制限を決定,1
1972,安全,マン島TTの死亡事故を機に有力ライダーがボイコット,
1975,規則・技術,アゴスチーニ＋ヤマハが2スト初の500cc王座,1
1976,安全,マン島TTがこの年を最後に選手権から除外,
1977,運営・メーカー,片山敬済が350ccで日本人初の世界王者,
1978,運営・メーカー,ケニー・ロバーツが500cc王座。アメリカ人の時代へ,
1979,運営・メーカー,ホンダが楕円ピストン4ストのNR500で最高峰復帰,
1982,クラス,350ccクラス廃止,
1984,クラス,50cc→80ccへ移行,
1987,安全,押しがけスタート廃止、クラッチスタートへ,
1989,クラス,80ccクラス廃止,
1992,運営・メーカー,Dorna Sportsが商業権を取得。ホンダNSR500がビッグバンエンジン採用,1
1993,規則・技術,ポイント体系を25-20-16…へ,
1996,クラス,サイドカーが選手権から分離,
1998,規則・技術,無鉛ガソリン義務化,
2002,クラス,最高峰が4スト990ccの「MotoGP」へ,1
2003,安全,加藤大治郎が日本GP（鈴鹿）の事故で死去。翌年から日本GPはもてぎへ,
2005,規則・技術,フラッグ・トゥ・フラッグ導入,
2007,規則・技術,MotoGP 800cc化、燃料21L,1
2008,運営・メーカー,カワサキ撤退。カタールでナイトレース開始,
2009,規則・技術,ブリヂストンのタイヤ単一供給開始。250ccクラス最終年,
2010,クラス,Moto2（ホンダ600ccワンメイク）開始。年間エンジン基数制限,
2012,クラス,MotoGP 1000cc化・CRT導入。125cc→Moto3,1
2013,規則・技術,Q1・Q2の2段階予選導入,
2014,規則・技術,Factory／Open区分,
2016,規則・技術,統一ECU・統一ソフト、ミシュランへ変更,1
2017,規則・技術,独立型ウイングレット禁止,
2018,安全,エアバッグ付きスーツを全クラスで義務化,
2019,クラス,Moto2がトライアンフ765ccへ。MotoE開始,
2022,運営・メーカー,スズキがこの年限りで撤退,
2023,規則・技術,スプリントレース全戦導入、走行中のフロント車高調整装置禁止,1
2024,規則・技術,新コンセッション制度。Moto2/Moto3がピレリへ。小椋藍がMoto2王者,
2025,運営・メーカー,リバティ・メディアがMotoGP買収を完了。マルケスが7度目の最高峰王座,1
2026,安全,フロントのホールショットデバイス即時禁止、グリッド間隔拡大。1000cc最終年,
2027,規則・技術,850cc・車高調整装置全面禁止・ピレリタイヤの新時代へ（予定）,1
